date,open,high,low,close
2017-01-02,1.04684,1.04902,1.03406,1.0405
2017-01-03,1.04061,1.05,1.03899,1.04892
2017-01-04,1.04887,1.06153,1.04808,1.06069
2017-01-05,1.06026,1.06224,1.05251,1.05323
2017-01-08,1.05304,1.05829,1.0511,1.05713
2017-01-09,1.05795,1.06274,1.05511,1.05543
2017-01-10,1.05553,1.0623,1.04539,1.05824
2017-01-11,1.05818,1.06848,1.05716,1.06126
2017-01-12,1.06146,1.06739,1.05962,1.06434
2017-01-15,1.06051,1.06356,1.05794,1.06006
2017-01-16,1.06006,1.07194,1.05978,1.07138
2017-01-17,1.07114,1.07157,1.06288,1.06293
2017-01-18,1.06314,1.06766,1.05895,1.06644
2017-01-19,1.06626,1.07096,1.06252,1.07012
2017-01-22,1.07014,1.07695,1.07014,1.0764
2017-01-23,1.07672,1.07751,1.07204,1.07314
2017-01-24,1.07306,1.07698,1.07112,1.07483
2017-01-25,1.07497,1.07656,1.06579,1.06824
2017-01-26,1.06797,1.07251,1.06584,1.06981
2017-01-29,1.07232,1.07404,1.06204,1.06956
2017-01-30,1.06964,1.08124,1.06846,1.07975
2017-01-31,1.0798,1.08074,1.0731,1.07689
2017-02-01,1.07692,1.0829,1.07562,1.07584
2017-02-02,1.07596,1.07976,1.07125,1.0785
2017-02-05,1.07898,1.07914,1.07056,1.07504
2017-02-06,1.07494,1.07506,1.06562,1.0683
2017-02-07,1.06804,1.0714,1.06408,1.06984
2017-02-08,1.0698,1.07096,1.0651,1.06558
2017-02-09,1.0658,1.06678,1.06077,1.06412
2017-02-12,1.06286,1.06583,1.05922,1.05966
2017-02-13,1.05976,1.06335,1.05612,1.05782
2017-02-14,1.05762,1.06093,1.05214,1.06
2017-02-15,1.06013,1.06792,1.05907,1.06738
2017-02-16,1.06733,1.06768,1.06056,1.06161
2017-02-19,1.06082,1.06329,1.0603,1.06138
2017-02-20,1.06127,1.06158,1.05258,1.05365
2017-02-21,1.05373,1.05742,1.04938,1.05583
2017-02-22,1.05562,1.05954,1.05378,1.05816
2017-02-23,1.05802,1.06182,1.0557,1.0561
2017-02-26,1.05634,1.06308,1.05518,1.05865
2017-02-27,1.05859,1.06302,1.05679,1.05764
2017-02-28,1.05755,1.05894,1.05144,1.05465
2017-03-01,1.05464,1.05517,1.0495,1.05066
2017-03-02,1.05073,1.06248,1.0502,1.0622
2017-03-05,1.06092,1.06401,1.05748,1.05818
2017-03-06,1.05828,1.06028,1.0558,1.05662
2017-03-07,1.05661,1.05742,1.0535,1.05409
2017-03-08,1.05394,1.06154,1.05252,1.05773
2017-03-09,1.05774,1.0699,1.05724,1.06736
2017-03-12,1.06784,1.07142,1.06518,1.0653
2017-03-13,1.0654,1.06626,1.06005,1.06046
2017-03-14,1.06062,1.074,1.06036,1.07342
2017-03-15,1.0729,1.07704,1.07057,1.07658
2017-03-16,1.07652,1.07827,1.07274,1.0738
2017-03-19,1.07336,1.07776,1.0725,1.07394
2017-03-20,1.07386,1.08194,1.0719,1.08098
2017-03-21,1.08102,1.0825,1.0776,1.07973
2017-03-22,1.07946,1.08049,1.0768,1.07838
2017-03-23,1.07824,1.08181,1.07604,1.07978
2017-03-26,1.0839,1.0906,1.0827,1.08628
2017-03-27,1.08648,1.08726,1.0799,1.0815
2017-03-28,1.08094,1.08265,1.07401,1.07659
2017-03-29,1.07674,1.07704,1.06722,1.06743
2017-03-30,1.06761,1.07018,1.06508,1.06548
2017-04-02,1.06624,1.0681,1.06426,1.06698
2017-04-03,1.067,1.06772,1.06357,1.06736
2017-04-04,1.06704,1.0689,1.0635,1.06635
2017-04-05,1.06638,1.06844,1.0629,1.06444
2017-04-06,1.06435,1.06657,1.05807,1.05902
2017-04-09,1.05878,1.06068,1.05698,1.05956
2017-04-10,1.0595,1.063,1.05784,1.06044
2017-04-11,1.0605,1.0675,1.0589,1.06656
2017-04-12,1.06634,1.0678,1.0609,1.06134
2017-04-13,1.06172,1.063,1.06058,1.06129
2017-04-16,1.06175,1.06704,1.06028,1.06434
2017-04-17,1.06414,1.07362,1.06374,1.07298
2017-04-18,1.0731,1.0737,1.07002,1.07114
2017-04-19,1.07132,1.07775,1.0709,1.07168
2017-04-20,1.07166,1.0738,1.06824,1.07268
2017-04-23,1.0893,1.09063,1.08209,1.08674
2017-04-24,1.08684,1.095,1.08515,1.09265
2017-04-25,1.093,1.09508,1.08558,1.09039
2017-04-26,1.09049,1.09329,1.08516,1.08726
2017-04-27,1.0873,1.09472,1.08572,1.08962
2017-04-30,1.0913,1.09238,1.08842,1.0899
2017-05-01,1.08982,1.09332,1.08884,1.09308
2017-05-02,1.09284,1.09368,1.08828,1.08852
2017-05-03,1.08868,1.09872,1.0875,1.09842
2017-05-04,1.09834,1.09996,1.095,1.09989
2017-05-07,1.102,1.10237,1.09165,1.09238
2017-05-08,1.09241,1.09336,1.08636,1.08743
2017-05-09,1.0874,1.08982,1.08534,1.08676
2017-05-10,1.08674,1.0893,1.08393,1.08609
2017-05-11,1.08613,1.09343,1.08557,1.09314
2017-05-14,1.09304,1.09894,1.09228,1.09751
2017-05-15,1.09747,1.10972,1.09743,1.10826
2017-05-16,1.10831,1.11622,1.10802,1.11599
2017-05-17,1.11574,1.11719,1.1076,1.11026
2017-05-18,1.11032,1.12118,1.10974,1.12068
2017-05-21,1.11962,1.12635,1.11616,1.12373
2017-05-22,1.1237,1.12684,1.11752,1.11824
2017-05-23,1.11831,1.12201,1.11687,1.12187
2017-05-24,1.12192,1.12504,1.11936,1.12104
2017-05-25,1.12086,1.12345,1.11606,1.11813
2017-05-28,1.11738,1.11899,1.11619,1.1163
2017-05-29,1.11633,1.12054,1.11096,1.11858
2017-05-30,1.11867,1.12524,1.11646,1.12433
